followers,genres_spotify,id,listeners_lastfm,name,popularity,popularity_hybrid,related_artists_lastfm,related_artists_yt,tags_lastfm
289,Sin datos,0GzaI3hZcuFafv2RGvfnPA,Sin datos,Turn It Around,0,0.0,Sin datos,"Mauro Picotto, Energy 52, Alex M.O.R.P.H., Andain, Key4050, York, Rank 1, Binary Finary, Ayla, Lange",Sin datos
1,Sin datos,0QaEZDGc6KJmdHCgRbOWRe,Sin datos,Verjal Fresh Kutt,0,0.0,Sin datos,Sin datos,Sin datos
3,Sin datos,7gQr0u81fnZ56en4MmxHD5,Sin datos,Lil Flama x Flee,0,0.0,Sin datos,Sin datos,Sin datos
221,Sin datos,2mw8EmDO0SWOHF5Nu8j2Lq,Sin datos,The Grinning Ghosts,0,0.0,Sin datos,Sin datos,Sin datos
228405,"soca, calypso, dancehall",6wxP7SSzfvi21Cnl8JicdQ,62812,Machel Montano,57,53.9,"Bunji Garlin, Kes, Mical Teja, Rupee, Scrunter","Teddyson John, Orlando Octave, Mical Teja, System32 & Rochelle Chedz, Kerwin Du Bois, Lyrikal, Destra Garcia, Bunji Garlin, Erphaan Alves, Nailah Blackman","soca, dancehall, trinidad, caribbean, trini"
55593,"soca, dancehall, calypso",60TYV12IFUaDfnUA0S67zb,109606,Rupee,54,49.9,"Machel Montano, Mr. Vegas, T.O.K., Wayne Wonder, Kevin Lyttle","Nina Sky, RDX, Pato Banton, Notch, Louchie Lou, Chaka Demus, Pliers, Danny English, Cutty Ranks, Alison Hinds","soca, dancehall, reggae, caribbean, barbados"
9859,Sin datos,2mCfJF2n60STC46nVkhuq5,21133,Destra,48,37.6,"Patrice Roberts, Nadia Batson, Skinny Fabulous, Farmer Nappy, Alison Hinds","Linky First, Blaxx, Peter Ram, Fadda Fox, Orlando Octave, Shal Marshall, Lyrikal, Kerwin Du Bois, Bunji Garlin, Olatunji","soca, Progressive metal, caribbean, All, trinidad and tobago"
95562,"soca, dancehall, calypso",6nPHDCN7qmxO86eN1grP54,51825,Bunji Garlin,50,51.2,"Machel Montano, Kes, Mical Teja, Rupee, Skillibeng","Fadda Fox, Ricardo Drue, Mical Teja, Teddyson John, DJ Private Ryan, Kerwin Du Bois, Skinny Fabulous, Shal Marshall, Lyrikal, Destra Garcia","soca, reggae, dancehall, trinidad and tobago, trini"
119960,"soca, dancehall",1GaBsp1ICIp1e6udgE7fba,362136,Kevin Lyttle,59,55.4,"Rupee, Sean Paul, Charly Black, Gyptian, Serani","Nina Sky, Million Stylez, Kardinal Offishall, Notch, Seanizzle, Mr Easy, Diana King, Tony Matterhorn, Chaka Demus, Danny English","dancehall, reggae, soca, rnb, dance"
107630,"soca, calypso, dancehall",0crMctn4iXaE3XCHpeBkOt,18585,Patrice Roberts,48,47.2,"Nadia Batson, Farmer Nappy, Skinny Fabulous, Lyrikal, Kerwin Du Bois","Hypasounds, Teddyson John, Preedy, Orlando Octave, Fay-Ann Lyons, Nadia Batson, Kerwin Du Bois, Lyrikal, Shal Marshall, Skinny Fabulous","soca, dancehall, trinidad, caribbean, trinidad and tobago"
