album,artist_id,artist_name,source,track_id,track_name,year,track_name_clean,bandwidth,centroid,chroma,mfcc,rms,rolloff,zcr
Turn It Around - Tribute to Sub Focus and Kele,0GzaI3hZcuFafv2RGvfnPA,Turn It Around,spotify,49S1dSV2audIsxvOJ76Q2C,Turn It Around - Tribute to Sub Focus and Kele,2013,turn it around - tribute to sub focus and kele,0.9272499624011407,0.40738086914549065,"[0.4643256366252899, 0.46716809272766113, 0.3810468912124634, 0.4603399634361267, 0.3626116216182709, 0.367151141166687, 0.4638610780239105, 0.3031523823738098, 0.31166601181030273, 0.3433881402015686, 0.47088930010795593, 0.6100198030471802]","[-73.2640609741211, 80.78363800048828, 14.074420928955078, 17.975318908691406, 7.638917446136475, 11.56080150604248, 7.465428829193115, 8.956473350524902, 3.9386966228485107, 11.023097038269043, 2.8078999519348145, 9.193021774291992, 4.820379257202148]",0.37979469001914856,0.688104998161292,-0.7603336704009772
Wet Pan Dey,0QaEZDGc6KJmdHCgRbOWRe,Verjal Fresh Kutt,spotify,7sNn28V5xNQrrvuzcMx71N,Wet Pan Dey,2022,wet pan dey,0.6306654545845625,0.34155372300037234,"[0.48776334524154663, 0.4119611978530884, 0.4864567518234253, 0.4447164237499237, 0.5334552526473999, 0.44593244791030884, 0.42629024386405945, 0.44903188943862915, 0.39400652050971985, 0.46487900614738464, 0.3910132348537445, 0.459634929895401]","[-29.80784034729004, 76.91537475585938, 1.1065200567245483, 22.593238830566406, 1.5758050680160522, 7.98729133605957, 3.1821436882019043, 14.766252517700195, -3.503018379211426, 12.532588958740234, 2.98555064201355, 7.877228736877441, 1.5012673139572144]",0.6792842024555206,0.5738748636325701,-0.3827161851202606
Justice League Riddim,7gQr0u81fnZ56en4MmxHD5,Lil Flama x Flee,youtube,eOh1oCTVQ6s,Mother Place (feat. Lil Flama x Flee),,mother place,1.0771900815714104,0.9973202509046678,"[0.3243124485015869, 0.34797167778015137, 0.588380753993988, 0.36953550577163696, 0.38694608211517334, 0.45002472400665283, 0.48578599095344543, 0.518318772315979, 0.46589866280555725, 0.5000602602958679, 0.37054890394210815, 0.3116717040538788]","[-30.809476852416992, 67.65007781982422, 6.92669677734375, 27.3660888671875, 3.5120315551757812, 7.90196418762207, 1.025875449180603, -1.4813185930252075, -4.344720840454102, 6.346792221069336, 1.342260479927063, 2.585339307785034, 0.5564255714416504]",0.247926636980505,1.0960739394536265,0.4611415912876506
EP 2,2mw8EmDO0SWOHF5Nu8j2Lq,The Grinning Ghosts,spotify,5IPOJjWTtF8O06YPW6bgZ7,Minnie's Yoo Hoo,2018,minnie's yoo hoo,-0.51236523232064,-0.48980624422371993,"[0.33861133456230164, 0.33998048305511475, 0.44747206568717957, 0.3895815908908844, 0.43162181973457336, 0.396951824426651, 0.3617018163204193, 0.4195347726345062, 0.3676791191101074, 0.4091271460056305, 0.38425254821777344, 0.4307936429977417]","[-32.34243392944336, 97.25459289550781, -24.10519790649414, 17.010540008544922, 3.009091854095459, 13.114838600158691, -0.8940763473510742, 8.382986068725586, 2.6474390029907227, 6.6346001625061035, -1.2683614492416382, 3.337789297103882, -3.017822265625]",0.17280277750827197,-0.5218414117288878,-0.16996566169367344
Yesterday Tomorrow,2mw8EmDO0SWOHF5Nu8j2Lq,The Grinning Ghosts,spotify,4zENLDYDbgtSE4BGoxMzTL,Pictures of a Parking Lot,2015,pictures of a parking lot,0.39143638876812925,0.46083801811226177,"[0.5894200801849365, 0.42510026693344116, 0.45466193556785583, 0.3566901683807373, 0.43128105998039246, 0.36119702458381653, 0.4122104048728943, 0.6546578407287598, 0.40061911940574646, 0.2776620090007782, 0.24888762831687927, 0.38337889313697815]","[72.67356872558594, 83.49134826660156, -12.448457717895508, 21.417966842651367, 4.21624231338501, 3.406506061553955, -7.061642646789551, 12.60257625579834, -6.817132949829102, -1.3399449586868286, 4.402653694152832, -0.09181993454694748, -3.5174672603607178]",2.6696197292245882,0.48396619815311753,0.6765899268173944
EP 3,2mw8EmDO0SWOHF5Nu8j2Lq,The Grinning Ghosts,spotify,6084RsqdvdfV9zUnDIsyd5,I've Been Tired,2018,i've been tired,0.4835295838348285,0.34978893898648394,"[0.3991157114505768, 0.3635631203651428, 0.4039924442768097, 0.39981377124786377, 0.48143288493156433, 0.44230279326438904, 0.4894162714481354, 0.6175777316093445, 0.5030192732810974, 0.5285309553146362, 0.4860340356826782, 0.5036618113517761]","[-43.42488479614258, 80.59931945800781, -0.1850389838218689, 22.556875228881836, 6.043111324310303, 14.610416412353516, 2.5758347511291504, 12.414801597595215, 0.3160267472267151, 5.535421371459961, -3.5456080436706543, 1.8752286434173584, -3.2321646213531494]",-0.24364566689309033,0.4574003319922534,0.41669566839996264
Fast Wine,6wxP7SSzfvi21Cnl8JicdQ,Machel Montano,spotify,4NwVmwGWpiiPdJj3NCehe9,Fast Wine,2016,fast wine,1.3809657820352774,1.1302425057775094,"[0.3988918364048004, 0.46892428398132324, 0.5543956756591797, 0.4827212393283844, 0.590501606464386, 0.42108017206192017, 0.42667096853256226, 0.33798927068710327, 0.37139901518821716, 0.4575578570365906, 0.3866424262523651, 0.4441733658313751]","[-23.57168197631836, 66.94396209716797, 17.836017608642578, 16.652711868286133, -3.009171962738037, 13.34138011932373, 2.1558921337127686, 0.20372776687145233, 5.502378463745117, 4.503893852233887, 3.3178811073303223, 11.233960151672363, 3.227661609649658]",1.269883643862598,1.3267364015488101,0.28509566274711573
Famalay,6wxP7SSzfvi21Cnl8JicdQ,Machel Montano,spotify,2XRkyBiKyHPyJ0krDmK4MA,Famalay,2019,famalay,0.864777936033502,0.743631629754762,"[0.3478831350803375, 0.43524169921875, 0.3935879170894623, 0.4022269546985626, 0.44593510031700134, 0.5165730118751526, 0.7724287509918213, 0.58873051404953, 0.5227528214454651, 0.47442546486854553, 0.4155797064304352, 0.3640652596950531]","[-9.637883186340332, 69.3569564819336, 1.6222940683364868, 21.263473510742188, -1.1835681200027466, 13.813017845153809, -3.230555295944214, 0.9252986907958984, 0.3448827266693115, 9.075817108154297, 3.7294764518737793, 10.128252983093262, -3.9651007652282715]",1.486750153184153,0.9053884344105643,-0.11449991466463616
One Degree Hotter,6wxP7SSzfvi21Cnl8JicdQ,Machel Montano,spotify,3nbJby3I4rgfTIC09qtwGz,PARDY,2025,pardy,0.4318088414073663,0.3843569149665952,"[0.4258725941181183, 0.3845203220844269, 0.543123185634613, 0.3671190142631531, 0.3951718509197235, 0.32713761925697327, 0.4632824659347534, 0.5761997699737549, 0.39732077717781067, 0.44937047362327576, 0.3501356244087219, 0.49302178621292114]","[-3.902456760406494, 84.17733764648438, -9.300684928894043, 17.764833450317383, -1.1845462322235107, 6.418858528137207, -4.137342929840088, -1.1365684270858765, -0.8250271081924438, 3.7165729999542236, -1.5890979766845703, 4.940224647521973, -4.597851753234863]",0.7004771949617281,0.46216018793430835,0.16575372056120133
Soca Gold 2003,60TYV12IFUaDfnUA0S67zb,Rupee,spotify,0ENQCg0FziqV4VB9U2xTf5,Tempted To Touch,2003,tempted to touch,0.6409849698662875,0.04394860901656731,"[0.33555564284324646, 0.3907175362110138, 0.5147266387939453, 0.42424315214157104, 0.3693290650844574, 0.2805382013320923, 0.27675363421440125, 0.5331397652626038, 0.35410574078559875, 0.2930125892162323, 0.21569566428661346, 0.24033589661121368]","[-77.46353912353516, 85.30604553222656, 8.793009757995605, 14.597922325134277, 5.796220302581787, 4.639491558074951, -1.995575189590454, 7.671895980834961, -9.790116310119629, 5.546606063842773, -8.560219764709473, -0.9723477363586426, -7.776667594909668]",0.2922838686049245,0.36140932842058315,-0.6449200638119621
